customer_id,plan,signup_date,acquisition_channel,payment_method
CUST0001,Free,2023-11-24,Referral,Credit Card
CUST0002,Free,2023-04-25,Organic Search,Invoice
CUST0003,Business,2024-01-15,Organic Search,Invoice
CUST0004,Free,2023-08-05,Organic Search,Credit Card
CUST0005,Pro,2023-04-30,Organic Search,Invoice
CUST0006,Pro,2023-04-12,Social,Credit Card
CUST0007,Pro,2023-08-18,Organic Search,Credit Card
CUST0008,Pro,2023-12-24,Referral,Credit Card
CUST0009,Business,2023-04-21,Referral,Credit Card
CUST0010,Pro,2023-02-17,Referral,PayPal
CUST0011,Free,2023-11-06,Organic Search,Invoice
CUST0012,Pro,2023-08-24,Social,Credit Card
CUST0013,Free,2023-10-10,Referral,Invoice
CUST0014,Pro,2023-04-09,Organic Search,Invoice
CUST0015,Pro,2023-04-27,Organic Search,Credit Card
CUST0016,Free,2024-03-19,Referral,PayPal
CUST0017,Business,2023-11-22,Paid Ads,PayPal
CUST0018,Free,2023-07-01,Referral,Invoice
CUST0019,Pro,2024-04-24,Organic Search,Invoice
CUST0020,Free,2023-11-22,Paid Ads,Credit Card
CUST0021,Pro,2023-08-25,Paid Ads,Invoice
CUST0022,Business,2023-06-16,Organic Search,Credit Card
CUST0023,Free,2024-02-25,Referral,PayPal
CUST0024,Free,2023-05-18,Referral,Credit Card
CUST0025,Pro,2023-12-02,Social,Credit Card
CUST0026,Free,2023-05-16,Referral,Invoice
CUST0027,Pro,2023-10-27,Social,PayPal
CUST0028,Business,2023-04-23,Paid Ads,Invoice
CUST0029,Free,2023-09-10,Organic Search,Credit Card
CUST0030,Pro,2023-03-20,Social,Invoice
CUST0031,Pro,2023-02-02,Social,Invoice
CUST0032,Business,2023-05-09,Organic Search,Invoice
CUST0033,Free,2024-01-05,Referral,Invoice
CUST0034,Free,2023-06-24,Social,Credit Card
CUST0035,Free,2023-08-21,Referral,Invoice
CUST0036,Free,2024-01-26,Organic Search,Invoice
CUST0037,Business,2023-06-02,Paid Ads,Credit Card
CUST0038,Pro,2023-07-11,Organic Search,Invoice
CUST0039,Pro,2023-06-15,Organic Search,PayPal
CUST0040,Business,2024-03-25,Referral,Credit Card
CUST0041,Free,2023-01-30,Organic Search,Credit Card
CUST0042,Pro,2024-01-10,Organic Search,Invoice
CUST0043,Free,2024-01-28,Social,Invoice
CUST0044,Free,2023-03-26,Social,Credit Card
CUST0045,Pro,2024-04-20,Paid Ads,Invoice
CUST0046,Pro,2023-06-09,Referral,PayPal
CUST0047,Pro,2024-04-05,Organic Search,Credit Card
CUST0048,Free,2023-04-26,Organic Search,Invoice
CUST0049,Free,2023-10-11,Paid Ads,Credit Card
CUST0050,Pro,2023-02-06,Organic Search,Credit Card
CUST0051,Business,2023-02-04,Referral,Credit Card
CUST0052,Free,2023-09-21,Social,Credit Card
CUST0053,Free,2023-10-04,Social,Credit Card
CUST0054,Pro,2024-02-06,Social,Credit Card
CUST0055,Free,2023-02-18,Social,PayPal
CUST0056,Pro,2023-08-05,Organic Search,Invoice
CUST0057,Business,2023-12-01,Organic Search,Credit Card
CUST0058,Pro,2023-07-26,Organic Search,Credit Card
CUST0059,Free,2023-04-09,Social,Credit Card
CUST0060,Free,2023-08-05,Social,Credit Card
CUST0061,Business,2024-03-23,Social,Invoice
CUST0062,Free,2023-02-20,Organic Search,Credit Card
CUST0063,Pro,2024-04-19,Paid Ads,Credit Card
CUST0064,Pro,2023-07-28,Paid Ads,PayPal
CUST0065,Free,2024-04-07,Social,Credit Card
CUST0066,Free,2023-07-19,Social,PayPal
CUST0067,Pro,2023-08-05,Social,Credit Card
CUST0068,Free,2023-04-08,Organic Search,Invoice
CUST0069,Pro,2024-01-12,Referral,Credit Card
CUST0070,Pro,2023-01-26,Paid Ads,Credit Card
CUST0071,Free,2023-09-18,Paid Ads,Credit Card
CUST0072,Free,2023-11-01,Paid Ads,PayPal
CUST0073,Business,2023-03-03,Paid Ads,Invoice
CUST0074,Free,2023-11-01,Organic Search,PayPal
CUST0075,Pro,2023-12-03,Referral,PayPal
CUST0076,Pro,2023-04-15,Referral,Credit Card
CUST0077,Pro,2023-05-16,Referral,PayPal
