billing_id,customer_id,billing_date,amount_usd
BL00001,CUST0003,2024-01-15,63.7
BL00002,CUST0003,2024-02-14,63.7
BL00003,CUST0003,2024-03-15,63.7
BL00004,CUST0003,2024-04-14,63.7
BL00005,CUST0003,2024-05-14,63.7
BL00006,CUST0003,2024-06-13,63.7
BL00007,CUST0005,2023-04-30,12.0
BL00008,CUST0005,2023-05-30,12.0
BL00009,CUST0005,2023-06-29,12.0
BL00010,CUST0005,2023-07-29,12.0
BL00011,CUST0005,2023-08-28,12.0
BL00012,CUST0005,2023-09-27,12.0
BL00013,CUST0006,2023-04-12,12.0
BL00014,CUST0006,2023-05-12,12.0
BL00015,CUST0006,2023-06-11,12.0
BL00016,CUST0006,2023-07-11,12.0
BL00017,CUST0006,2023-08-10,12.0
BL00018,CUST0007,2023-08-18,12.0
BL00019,CUST0007,2023-09-17,12.0
BL00020,CUST0007,2023-10-17,12.0
BL00021,CUST0007,2023-11-16,12.0
BL00022,CUST0007,2023-12-16,12.0
BL00023,CUST0007,2024-01-15,12.0
BL00024,CUST0007,2024-02-14,12.0
BL00025,CUST0007,2024-03-15,12.0
BL00026,CUST0007,2024-04-14,12.0
BL00027,CUST0007,2024-05-14,12.0
BL00028,CUST0007,2024-06-13,12.0
BL00029,CUST0008,2023-12-24,12.0
BL00030,CUST0008,2024-01-23,12.0
BL00031,CUST0008,2024-02-22,12.0
BL00032,CUST0008,2024-03-23,12.0
BL00033,CUST0008,2024-04-22,12.0
BL00034,CUST0008,2024-05-22,12.0
BL00035,CUST0008,2024-06-21,12.0
BL00036,CUST0009,2023-04-21,49.0
BL00037,CUST0009,2023-05-21,49.0
BL00038,CUST0009,2023-06-20,49.0
BL00039,CUST0009,2023-07-20,49.0
BL00040,CUST0009,2023-08-19,49.0
BL00041,CUST0009,2023-09-18,63.7
BL00042,CUST0009,2023-10-18,63.7
BL00043,CUST0009,2023-11-17,63.7
BL00044,CUST0010,2023-02-17,12.0
BL00045,CUST0010,2023-03-19,12.0
BL00046,CUST0010,2023-04-18,12.0
BL00047,CUST0010,2023-05-18,12.0
BL00048,CUST0010,2023-06-17,12.0
BL00049,CUST0010,2023-07-17,12.0
BL00050,CUST0010,2023-08-16,12.0
BL00051,CUST0010,2023-09-15,12.0
BL00052,CUST0010,2023-10-15,12.0
BL00053,CUST0010,2023-11-14,12.0
BL00054,CUST0010,2023-12-14,12.0
BL00055,CUST0010,2024-01-13,12.0
BL00056,CUST0010,2024-02-12,12.0
BL00057,CUST0010,2024-03-13,12.0
BL00058,CUST0010,2024-04-12,12.0
BL00059,CUST0010,2024-05-12,12.0
BL00060,CUST0010,2024-06-11,12.0
BL00061,CUST0012,2023-08-24,12.0
BL00062,CUST0012,2023-09-23,12.0
BL00063,CUST0012,2023-10-23,12.0
BL00064,CUST0012,2023-11-22,12.0
BL00065,CUST0012,2023-12-22,12.0
BL00066,CUST0012,2024-01-21,12.0
BL00067,CUST0012,2024-02-20,12.0
BL00068,CUST0012,2024-03-21,12.0
BL00069,CUST0014,2023-04-09,12.0
BL00070,CUST0014,2023-05-09,12.0
BL00071,CUST0014,2023-06-08,12.0
BL00072,CUST0014,2023-07-08,12.0
BL00073,CUST0014,2023-08-07,12.0
BL00074,CUST0014,2023-09-06,12.0
BL00075,CUST0014,2023-10-06,12.0
BL00076,CUST0014,2023-11-05,12.0
BL00077,CUST0014,2023-12-05,12.0
BL00078,CUST0014,2024-01-04,12.0
BL00079,CUST0014,2024-02-03,12.0
BL00080,CUST0014,2024-03-04,12.0
BL00081,CUST0014,2024-04-03,12.0
BL00082,CUST0014,2024-05-03,12.0
BL00083,CUST0014,2024-06-02,12.0
BL00084,CUST0015,2023-04-27,12.0
BL00085,CUST0015,2023-05-27,12.0
BL00086,CUST0017,2023-11-22,63.7
BL00087,CUST0017,2023-12-22,63.7
BL00088,CUST0017,2024-01-21,63.7
BL00089,CUST0017,2024-02-20,63.7
BL00090,CUST0017,2024-03-21,63.7
BL00091,CUST0017,2024-04-20,63.7
BL00092,CUST0017,2024-05-20,63.7
BL00093,CUST0017,2024-06-19,63.7
BL00094,CUST0019,2024-04-24,12.0
BL00095,CUST0019,2024-05-24,12.0
BL00096,CUST0019,2024-06-23,12.0
BL00097,CUST0021,2023-08-25,12.0
BL00098,CUST0021,2023-09-24,12.0
BL00099,CUST0021,2023-10-24,12.0
BL00100,CUST0021,2023-11-23,12.0
BL00101,CUST0021,2023-12-23,12.0
BL00102,CUST0021,2024-01-22,12.0
BL00103,CUST0021,2024-02-21,12.0
BL00104,CUST0021,2024-03-22,12.0
BL00105,CUST0021,2024-04-21,12.0
BL00106,CUST0021,2024-05-21,12.0
BL00107,CUST0021,2024-06-20,12.0
BL00108,CUST0022,2023-06-16,49.0
BL00109,CUST0022,2023-07-16,49.0
BL00110,CUST0025,2023-12-02,12.0
BL00111,CUST0025,2024-01-01,12.0
BL00112,CUST0025,2024-01-31,12.0
BL00113,CUST0025,2024-03-01,12.0
BL00114,CUST0025,2024-03-31,12.0
BL00115,CUST0025,2024-04-30,12.0
BL00116,CUST0025,2024-05-30,12.0
BL00117,CUST0025,2024-06-29,12.0
BL00118,CUST0027,2023-10-27,12.0
BL00119,CUST0027,2023-11-26,12.0
BL00120,CUST0027,2023-12-26,12.0
BL00121,CUST0027,2024-01-25,12.0
BL00122,CUST0027,2024-02-24,12.0
BL00123,CUST0027,2024-03-25,12.0
BL00124,CUST0027,2024-04-24,12.0
BL00125,CUST0027,2024-05-24,12.0
BL00126,CUST0027,2024-06-23,12.0
BL00127,CUST0028,2023-04-23,49.0
BL00128,CUST0028,2023-05-23,49.0
BL00129,CUST0028,2023-06-22,49.0
BL00130,CUST0028,2023-07-22,49.0
BL00131,CUST0028,2023-08-21,49.0
BL00132,CUST0028,2023-09-20,63.7
BL00133,CUST0028,2023-10-20,63.7
BL00134,CUST0028,2023-11-19,63.7
BL00135,CUST0028,2023-12-19,63.7
BL00136,CUST0028,2024-01-18,63.7
BL00137,CUST0028,2024-02-17,63.7
BL00138,CUST0028,2024-03-18,63.7
BL00139,CUST0028,2024-04-17,63.7
BL00140,CUST0028,2024-05-17,63.7
BL00141,CUST0028,2024-06-16,63.7
BL00142,CUST0030,2023-03-20,12.0
BL00143,CUST0031,2023-02-02,12.0
BL00144,CUST0031,2023-03-04,12.0
BL00145,CUST0031,2023-04-03,12.0
BL00146,CUST0032,2023-05-09,49.0
BL00147,CUST0032,2023-06-08,49.0
BL00148,CUST0032,2023-07-08,49.0
BL00149,CUST0032,2023-08-07,49.0
BL00150,CUST0032,2023-09-06,63.7
BL00151,CUST0037,2023-06-02,49.0
BL00152,CUST0037,2023-07-02,49.0
BL00153,CUST0037,2023-08-01,49.0
BL00154,CUST0037,2023-08-31,49.0
BL00155,CUST0037,2023-09-30,63.7
BL00156,CUST0037,2023-10-30,63.7
BL00157,CUST0037,2023-11-29,63.7
BL00158,CUST0037,2023-12-29,63.7
BL00159,CUST0037,2024-01-28,63.7
BL00160,CUST0037,2024-02-27,63.7
BL00161,CUST0037,2024-03-28,63.7
BL00162,CUST0037,2024-04-27,63.7
BL00163,CUST0037,2024-05-27,63.7
BL00164,CUST0037,2024-06-26,63.7
BL00165,CUST0038,2023-07-11,12.0
BL00166,CUST0038,2023-08-10,12.0
BL00167,CUST0038,2023-09-09,12.0
BL00168,CUST0038,2023-10-09,12.0
BL00169,CUST0038,2023-11-08,12.0
BL00170,CUST0038,2023-12-08,12.0
BL00171,CUST0038,2024-01-07,12.0
BL00172,CUST0038,2024-02-06,12.0
BL00173,CUST0038,2024-03-07,12.0
BL00174,CUST0038,2024-04-06,12.0
BL00175,CUST0038,2024-05-06,12.0
BL00176,CUST0038,2024-06-05,12.0
BL00177,CUST0039,2023-06-15,12.0
BL00178,CUST0039,2023-07-15,12.0
BL00179,CUST0039,2023-08-14,12.0
BL00180,CUST0039,2023-09-13,12.0
BL00181,CUST0039,2023-10-13,12.0
BL00182,CUST0039,2023-11-12,12.0
BL00183,CUST0039,2023-12-12,12.0
BL00184,CUST0039,2024-01-11,12.0
BL00185,CUST0039,2024-02-10,12.0
BL00186,CUST0039,2024-03-11,12.0
BL00187,CUST0039,2024-04-10,12.0
BL00188,CUST0039,2024-05-10,12.0
BL00189,CUST0039,2024-06-09,12.0
BL00190,CUST0040,2024-03-25,63.7
BL00191,CUST0040,2024-04-24,63.7
BL00192,CUST0040,2024-05-24,63.7
BL00193,CUST0040,2024-06-23,63.7
BL00194,CUST0042,2024-01-10,12.0
BL00195,CUST0042,2024-02-09,12.0
BL00196,CUST0042,2024-03-10,12.0
BL00197,CUST0042,2024-04-09,12.0
BL00198,CUST0042,2024-05-09,12.0
BL00199,CUST0045,2024-04-20,12.0
BL00200,CUST0045,2024-05-20,12.0
BL00201,CUST0045,2024-06-19,12.0
BL00202,CUST0046,2023-06-09,12.0
BL00203,CUST0047,2024-04-05,12.0
BL00204,CUST0047,2024-05-05,12.0
BL00205,CUST0047,2024-06-04,12.0
BL00206,CUST0050,2023-02-06,12.0
BL00207,CUST0050,2023-03-08,12.0
BL00208,CUST0050,2023-04-07,12.0
BL00209,CUST0050,2023-05-07,12.0
BL00210,CUST0051,2023-02-04,49.0
BL00211,CUST0051,2023-03-06,49.0
BL00212,CUST0051,2023-04-05,49.0
BL00213,CUST0051,2023-05-05,49.0
BL00214,CUST0051,2023-06-04,49.0
BL00215,CUST0051,2023-07-04,49.0
BL00216,CUST0051,2023-08-03,49.0
BL00217,CUST0051,2023-09-02,63.7
BL00218,CUST0051,2023-10-02,63.7
BL00219,CUST0051,2023-11-01,63.7
BL00220,CUST0051,2023-12-01,63.7
BL00221,CUST0051,2023-12-31,63.7
BL00222,CUST0051,2024-01-30,63.7
BL00223,CUST0051,2024-02-29,63.7
BL00224,CUST0051,2024-03-30,63.7
BL00225,CUST0051,2024-04-29,63.7
BL00226,CUST0051,2024-05-29,63.7
BL00227,CUST0051,2024-06-28,63.7
BL00228,CUST0054,2024-02-06,12.0
BL00229,CUST0054,2024-03-07,12.0
BL00230,CUST0054,2024-04-06,12.0
BL00231,CUST0054,2024-05-06,12.0
BL00232,CUST0054,2024-06-05,12.0
BL00233,CUST0056,2023-08-05,12.0
BL00234,CUST0056,2023-09-04,12.0
BL00235,CUST0056,2023-10-04,12.0
BL00236,CUST0056,2023-11-03,12.0
BL00237,CUST0056,2023-12-03,12.0
BL00238,CUST0056,2024-01-02,12.0
BL00239,CUST0056,2024-02-01,12.0
BL00240,CUST0057,2023-12-01,63.7
BL00241,CUST0057,2023-12-31,63.7
BL00242,CUST0057,2024-01-30,63.7
BL00243,CUST0057,2024-02-29,63.7
BL00244,CUST0057,2024-03-30,63.7
BL00245,CUST0057,2024-04-29,63.7
BL00246,CUST0057,2024-05-29,63.7
BL00247,CUST0057,2024-06-28,63.7
BL00248,CUST0058,2023-07-26,12.0
BL00249,CUST0058,2023-08-25,12.0
BL00250,CUST0058,2023-09-24,12.0
BL00251,CUST0058,2023-10-24,12.0
BL00252,CUST0058,2023-11-23,12.0
BL00253,CUST0058,2023-12-23,12.0
BL00254,CUST0058,2024-01-22,12.0
BL00255,CUST0058,2024-02-21,12.0
BL00256,CUST0058,2024-03-22,12.0
BL00257,CUST0058,2024-04-21,12.0
BL00258,CUST0058,2024-05-21,12.0
BL00259,CUST0058,2024-06-20,12.0
BL00260,CUST0061,2024-03-23,63.7
BL00261,CUST0061,2024-04-22,63.7
BL00262,CUST0061,2024-05-22,63.7
BL00263,CUST0061,2024-06-21,63.7
BL00264,CUST0063,2024-04-19,12.0
BL00265,CUST0063,2024-05-19,12.0
BL00266,CUST0063,2024-06-18,12.0
BL00267,CUST0064,2023-07-28,12.0
BL00268,CUST0064,2023-08-27,12.0
BL00269,CUST0064,2023-09-26,12.0
BL00270,CUST0064,2023-10-26,12.0
BL00271,CUST0064,2023-11-25,12.0
BL00272,CUST0064,2023-12-25,12.0
BL00273,CUST0064,2024-01-24,12.0
BL00274,CUST0064,2024-02-23,12.0
BL00275,CUST0064,2024-03-24,12.0
BL00276,CUST0064,2024-04-23,12.0
BL00277,CUST0064,2024-05-23,12.0
BL00278,CUST0064,2024-06-22,12.0
BL00279,CUST0067,2023-08-05,12.0
BL00280,CUST0067,2023-09-04,12.0
BL00281,CUST0067,2023-10-04,12.0
BL00282,CUST0067,2023-11-03,12.0
BL00283,CUST0067,2023-12-03,12.0
BL00284,CUST0067,2024-01-02,12.0
BL00285,CUST0067,2024-02-01,12.0
BL00286,CUST0067,2024-03-02,12.0
BL00287,CUST0067,2024-04-01,12.0
BL00288,CUST0067,2024-05-01,12.0
BL00289,CUST0067,2024-05-31,12.0
BL00290,CUST0067,2024-06-30,12.0
BL00291,CUST0069,2024-01-12,12.0
BL00292,CUST0069,2024-02-11,12.0
BL00293,CUST0069,2024-03-12,12.0
BL00294,CUST0069,2024-04-11,12.0
BL00295,CUST0069,2024-05-11,12.0
BL00296,CUST0069,2024-06-10,12.0
BL00297,CUST0070,2023-01-26,12.0
BL00298,CUST0070,2023-02-25,12.0
BL00299,CUST0070,2023-03-27,12.0
BL00300,CUST0070,2023-04-26,12.0
BL00301,CUST0070,2023-05-26,12.0
BL00302,CUST0070,2023-06-25,12.0
BL00303,CUST0070,2023-07-25,12.0
BL00304,CUST0070,2023-08-24,12.0
BL00305,CUST0070,2023-09-23,12.0
BL00306,CUST0070,2023-10-23,12.0
BL00307,CUST0070,2023-11-22,12.0
BL00308,CUST0070,2023-12-22,12.0
BL00309,CUST0070,2024-01-21,12.0
BL00310,CUST0070,2024-02-20,12.0
BL00311,CUST0070,2024-03-21,12.0
BL00312,CUST0070,2024-04-20,12.0
BL00313,CUST0070,2024-05-20,12.0
BL00314,CUST0070,2024-06-19,12.0
BL00315,CUST0073,2023-03-03,49.0
BL00316,CUST0073,2023-04-02,49.0
BL00317,CUST0073,2023-05-02,49.0
BL00318,CUST0073,2023-06-01,49.0
BL00319,CUST0073,2023-07-01,49.0
BL00320,CUST0073,2023-07-31,49.0
BL00321,CUST0073,2023-08-30,49.0
BL00322,CUST0075,2023-12-03,12.0
BL00323,CUST0075,2024-01-02,12.0
BL00324,CUST0075,2024-02-01,12.0
BL00325,CUST0075,2024-03-02,12.0
BL00326,CUST0075,2024-04-01,12.0
BL00327,CUST0075,2024-05-01,12.0
BL00328,CUST0075,2024-05-31,12.0
BL00329,CUST0075,2024-06-30,12.0
BL00330,CUST0076,2023-04-15,12.0
BL00331,CUST0076,2023-05-15,12.0
BL00332,CUST0076,2023-06-14,12.0
BL00333,CUST0076,2023-07-14,12.0
BL00334,CUST0076,2023-08-13,12.0
BL00335,CUST0076,2023-09-12,12.0
BL00336,CUST0076,2023-10-12,12.0
BL00337,CUST0076,2023-11-11,12.0
BL00338,CUST0076,2023-12-11,12.0
BL00339,CUST0076,2024-01-10,12.0
BL00340,CUST0076,2024-02-09,12.0
BL00341,CUST0076,2024-03-10,12.0
BL00342,CUST0076,2024-04-09,12.0
BL00343,CUST0077,2023-05-16,12.0
BL00344,CUST0077,2023-06-15,12.0
BL00345,CUST0077,2023-07-15,12.0
BL00346,CUST0077,2023-08-14,12.0
BL00347,CUST0077,2023-09-13,12.0
BL00348,CUST0077,2023-10-13,12.0
BL00349,CUST0077,2023-11-12,12.0
BL00350,CUST0077,2023-12-12,12.0
BL00351,CUST0077,2024-01-11,12.0
BL00352,CUST0077,2024-02-10,12.0
BL00353,CUST0077,2024-03-11,12.0
BL00354,CUST0077,2024-04-10,12.0
BL00355,CUST0077,2024-05-10,12.0
BL00356,CUST0077,2024-06-09,12.0
BL00357,CUST0078,2023-06-11,49.0
BL00358,CUST0078,2023-07-11,49.0
BL00359,CUST0078,2023-08-10,49.0
BL00360,CUST0078,2023-09-09,63.7
BL00361,CUST0079,2023-08-23,12.0
BL00362,CUST0079,2023-09-22,12.0
BL00363,CUST0079,2023-10-22,12.0
BL00364,CUST0079,2023-11-21,12.0
BL00365,CUST0079,2023-12-21,12.0
BL00366,CUST0079,2024-01-20,12.0
BL00367,CUST0079,2024-02-19,12.0
BL00368,CUST0079,2024-03-20,12.0
BL00369,CUST0079,2024-04-19,12.0
BL00370,CUST0079,2024-05-19,12.0
BL00371,CUST0079,2024-06-18,12.0
BL00372,CUST0084,2024-02-23,12.0
BL00373,CUST0084,2024-03-24,12.0
BL00374,CUST0084,2024-04-23,12.0
BL00375,CUST0084,2024-05-23,12.0
BL00376,CUST0084,2024-06-22,12.0
BL00377,CUST0087,2023-04-18,12.0
BL00378,CUST0087,2023-05-18,12.0
BL00379,CUST0087,2023-06-17,12.0
BL00380,CUST0087,2023-07-17,12.0
BL00381,CUST0087,2023-08-16,12.0
BL00382,CUST0087,2023-09-15,12.0
BL00383,CUST0087,2023-10-15,12.0
BL00384,CUST0087,2023-11-14,12.0
BL00385,CUST0087,2023-12-14,12.0
BL00386,CUST0087,2024-01-13,12.0
BL00387,CUST0087,2024-02-12,12.0
BL00388,CUST0087,2024-03-13,12.0
BL00389,CUST0087,2024-04-12,12.0
BL00390,CUST0087,2024-05-12,12.0
BL00391,CUST0087,2024-06-11,12.0
BL00392,CUST0088,2023-11-21,63.7
BL00393,CUST0088,2023-12-21,63.7
BL00394,CUST0088,2024-01-20,63.7
BL00395,CUST0088,2024-02-19,63.7
BL00396,CUST0088,2024-03-20,63.7
BL00397,CUST0088,2024-04-19,63.7
BL00398,CUST0088,2024-05-19,63.7
BL00399,CUST0088,2024-06-18,63.7
BL00400,CUST0089,2024-04-08,63.7
BL00401,CUST0089,2024-05-08,63.7
BL00402,CUST0089,2024-06-07,63.7
BL00403,CUST0090,2023-11-21,12.0
BL00404,CUST0090,2023-12-21,12.0
BL00405,CUST0090,2024-01-20,12.0
BL00406,CUST0090,2024-02-19,12.0
BL00407,CUST0090,2024-03-20,12.0
BL00408,CUST0090,2024-04-19,12.0
BL00409,CUST0090,2024-05-19,12.0
BL00410,CUST0090,2024-06-18,12.0
BL00411,CUST0093,2023-12-28,12.0
BL00412,CUST0093,2024-01-27,12.0
BL00413,CUST0094,2023-02-08,49.0
