customer_id,signup_date,churned,churn_pattern,churn_date,tenure_days
CUST0001,2023-11-24,0,,,219
CUST0002,2023-04-25,0,,,432
CUST0003,2024-01-15,0,,,167
CUST0004,2023-08-05,0,,,330
CUST0005,2023-04-30,1,gradual_decline,2023-10-25,178
CUST0006,2023-04-12,1,support_driven,2023-09-04,145
CUST0007,2023-08-18,0,,,317
CUST0008,2023-12-24,0,,,189
CUST0009,2023-04-21,1,random,2023-11-30,223
CUST0010,2023-02-17,0,,,499
CUST0011,2023-11-06,1,gradual_decline,2024-06-30,237
CUST0012,2023-08-24,1,gradual_decline,2024-04-07,227
CUST0013,2023-10-10,0,,,264
CUST0014,2023-04-09,0,,,448
CUST0015,2023-04-27,1,goal_achievement,2023-06-20,54
CUST0016,2024-03-19,1,gradual_decline,2024-06-23,96
CUST0017,2023-11-22,0,,,221
CUST0018,2023-07-01,0,,,365
CUST0019,2024-04-24,0,,,67
CUST0020,2023-11-22,1,goal_achievement,2024-01-07,46
CUST0021,2023-08-25,0,,,310
CUST0022,2023-06-16,1,goal_achievement,2023-08-12,57
CUST0023,2024-02-25,1,gradual_decline,2024-06-30,126
CUST0024,2023-05-18,0,,,409
CUST0025,2023-12-02,0,,,211
CUST0026,2023-05-16,0,,,411
CUST0027,2023-10-27,1,gradual_decline,2024-06-30,247
CUST0028,2023-04-23,0,,,434
CUST0029,2023-09-10,0,,,294
CUST0030,2023-03-20,1,goal_achievement,2023-04-10,21
CUST0031,2023-02-02,1,random,2023-04-27,84
CUST0032,2023-05-09,1,price_shock,2023-09-13,127
CUST0033,2024-01-05,1,goal_achievement,2024-02-08,34
CUST0034,2023-06-24,0,,,372
CUST0035,2023-08-21,1,random,2024-03-05,197
CUST0036,2024-01-26,0,,,156
CUST0037,2023-06-02,0,,,394
CUST0038,2023-07-11,0,,,355
CUST0039,2023-06-15,0,,,381
CUST0040,2024-03-25,0,,,97
CUST0041,2023-01-30,1,gradual_decline,2023-05-06,96
CUST0042,2024-01-10,1,gradual_decline,2024-05-24,135
CUST0043,2024-01-28,0,,,154
CUST0044,2023-03-26,1,support_driven,2023-09-03,161
CUST0045,2024-04-20,0,,,71
CUST0046,2023-06-09,1,goal_achievement,2023-07-02,23
CUST0047,2024-04-05,1,support_driven,2024-06-30,86
CUST0048,2023-04-26,1,random,2023-11-26,214
CUST0049,2023-10-11,0,,,263
CUST0050,2023-02-06,1,gradual_decline,2023-05-13,96
CUST0051,2023-02-04,0,,,512
CUST0052,2023-09-21,0,,,283
CUST0053,2023-10-04,0,,,270
CUST0054,2024-02-06,0,,,145
CUST0055,2023-02-18,1,gradual_decline,2023-06-24,126
CUST0056,2023-08-05,1,support_driven,2024-02-19,198
CUST0057,2023-12-01,0,,,212
CUST0058,2023-07-26,0,,,340
CUST0059,2023-04-09,1,gradual_decline,2023-12-05,240
CUST0060,2023-08-05,0,,,330
CUST0061,2024-03-23,0,,,99
CUST0062,2023-02-20,0,,,496
CUST0063,2024-04-19,0,,,72
CUST0064,2023-07-28,0,,,338
CUST0065,2024-04-07,1,goal_achievement,2024-04-28,21
CUST0066,2023-07-19,0,,,347
CUST0067,2023-08-05,0,,,330
CUST0068,2023-04-08,0,,,449
CUST0069,2024-01-12,0,,,170
CUST0070,2023-01-26,0,,,521
CUST0071,2023-09-18,0,,,286
CUST0072,2023-11-01,1,gradual_decline,2024-06-30,242
CUST0073,2023-03-03,1,price_shock,2023-09-16,197
CUST0074,2023-11-01,1,goal_achievement,2023-12-08,37
CUST0075,2023-12-03,0,,,210
CUST0076,2023-04-15,1,gradual_decline,2024-04-24,375
CUST0077,2023-05-16,0,,,411
CUST0078,2023-06-11,1,gradual_decline,2023-09-12,93
CUST0079,2023-08-23,1,gradual_decline,2024-06-30,312
CUST0080,2023-10-03,0,,,271
CUST0081,2024-04-22,0,,,69
CUST0082,2023-07-09,0,,,357
CUST0083,2023-12-27,0,,,186
CUST0084,2024-02-23,0,,,128
CUST0085,2023-05-16,1,random,2023-09-18,125
CUST0086,2023-10-11,0,,,263
CUST0087,2023-04-18,0,,,439
CUST0088,2023-11-21,0,,,222
CUST0089,2024-04-08,1,gradual_decline,2024-06-30,83
CUST0090,2023-11-21,1,gradual_decline,2024-06-30,222
CUST0091,2023-01-02,0,,,545
CUST0092,2023-05-15,0,,,412
CUST0093,2023-12-28,1,goal_achievement,2024-02-10,44
CUST0094,2023-02-08,0,,,508
CUST0095,2023-01-19,1,gradual_decline,2023-04-22,93
CUST0096,2023-03-07,0,,,481
CUST0097,2024-04-05,0,,,86
CUST0098,2023-02-22,0,,,494
CUST0099,2024-01-19,0,,,163
CUST0100,2024-02-14,0,,,137
CUST0101,2023-04-02,0,,,455
CUST0102,2024-02-15,0,,,136
CUST0103,2023-03-23,0,,,465
CUST0104,2024-03-22,1,goal_achievement,2024-05-24,63
CUST0105,2023-04-13,1,gradual_decline,2024-03-03,325
CUST0106,2023-06-06,1,goal_achievement,2023-07-10,34
CUST0107,2023-01-13,0,,,534
CUST0108,2023-05-23,1,gradual_decline,2024-06-14,388
CUST0109,2023-11-25,0,,,218
CUST0110,2023-03-01,1,gradual_decline,2023-10-21,234
CUST0111,2023-10-25,0,,,249
CUST0112,2023-02-25,0,,,491
CUST0113,2024-02-07,1,goal_achievement,2024-04-08,61
CUST0114,2024-04-05,0,,,86
CUST0115,2023-12-29,1,support_driven,2024-06-30,184
CUST0116,2023-08-09,0,,,326
CUST0117,2023-06-10,0,,,386
CUST0118,2024-04-05,0,,,86
CUST0119,2023-07-29,0,,,337
CUST0120,2023-03-07,1,support_driven,2023-07-04,119
CUST0121,2024-01-19,0,,,163
CUST0122,2023-10-08,1,gradual_decline,2024-03-15,159
CUST0123,2023-04-18,0,,,439
CUST0124,2023-08-15,0,,,320
CUST0125,2023-08-31,1,goal_achievement,2023-09-30,30
CUST0126,2023-02-13,1,goal_achievement,2023-03-30,45
CUST0127,2024-02-24,1,price_shock,2024-03-25,30
CUST0128,2023-06-08,0,,,388
CUST0129,2023-01-13,0,,,534
CUST0130,2024-03-11,1,gradual_decline,2024-06-30,111
CUST0131,2024-03-29,1,random,2024-06-30,93
CUST0132,2023-12-23,0,,,190
CUST0133,2023-03-17,1,goal_achievement,2023-04-24,38
CUST0134,2024-02-03,0,,,148
CUST0135,2023-09-23,0,,,281
CUST0136,2023-08-22,0,,,313
CUST0137,2023-09-29,1,gradual_decline,2024-06-30,275
CUST0138,2023-11-10,0,,,233
CUST0139,2023-08-17,0,,,318
CUST0140,2023-05-13,0,,,414
CUST0141,2023-09-06,0,,,298
CUST0142,2023-02-09,0,,,507
CUST0143,2023-06-21,0,,,375
CUST0144,2023-03-19,0,,,469
CUST0145,2023-04-20,0,,,437
CUST0146,2023-10-05,0,,,269
CUST0147,2024-03-02,0,,,120
CUST0148,2023-07-14,1,gradual_decline,2023-12-21,160
CUST0149,2024-01-21,0,,,161
CUST0150,2024-01-18,0,,,164
CUST0151,2023-04-23,1,gradual_decline,2024-03-25,337
CUST0152,2023-07-19,0,,,347
CUST0153,2023-03-26,1,gradual_decline,2024-02-25,336
