ticket_id,customer_id,ticket_date,category,severity
TK00001,CUST0002,2023-08-01,Billing Question,Medium
TK00002,CUST0002,2023-08-06,Billing Question,Low
TK00003,CUST0003,2024-04-17,Feature Request,Low
TK00004,CUST0003,2024-05-13,Billing Question,Low
TK00005,CUST0003,2024-05-18,Complaint,Low
TK00006,CUST0004,2023-10-13,Feature Request,Low
TK00007,CUST0004,2024-03-20,Bug Report,Low
TK00008,CUST0005,2023-08-12,Billing Question,Medium
TK00009,CUST0006,2023-06-14,Billing Question,High
TK00010,CUST0006,2023-06-09,Billing Question,Low
TK00011,CUST0006,2023-08-13,Bug Report,Medium
TK00012,CUST0006,2023-08-14,Complaint,Medium
TK00013,CUST0006,2023-08-15,Complaint,Medium
TK00014,CUST0006,2023-05-27,Billing Question,High
TK00015,CUST0007,2023-10-27,Billing Question,Low
TK00016,CUST0007,2023-12-01,Billing Question,Low
TK00017,CUST0007,2024-01-28,Billing Question,High
TK00018,CUST0008,2024-03-25,Feature Request,Low
TK00019,CUST0011,2023-12-21,Complaint,High
TK00020,CUST0011,2024-01-30,Billing Question,Low
TK00021,CUST0011,2024-06-09,Feature Request,Medium
TK00022,CUST0012,2023-12-24,Complaint,Low
TK00023,CUST0014,2023-09-06,Billing Question,Medium
TK00024,CUST0014,2024-03-14,Billing Question,Medium
TK00025,CUST0014,2023-10-23,Bug Report,High
TK00026,CUST0016,2024-04-01,Complaint,High
TK00027,CUST0016,2024-04-03,Billing Question,Low
TK00028,CUST0017,2024-04-27,Feature Request,Medium
TK00029,CUST0017,2024-04-08,Bug Report,Medium
TK00030,CUST0018,2023-12-04,Complaint,Medium
TK00031,CUST0021,2024-03-20,Billing Question,Medium
TK00032,CUST0021,2024-05-10,Billing Question,Low
TK00033,CUST0022,2023-07-21,Billing Question,Medium
TK00034,CUST0022,2023-07-17,Complaint,Low
TK00035,CUST0023,2024-03-10,Complaint,Medium
TK00036,CUST0026,2023-11-11,Complaint,Low
TK00037,CUST0026,2024-02-10,Feature Request,Medium
TK00038,CUST0027,2024-05-01,Bug Report,Low
TK00039,CUST0027,2024-06-15,Billing Question,Medium
TK00040,CUST0027,2024-05-14,Feature Request,Low
TK00041,CUST0027,2023-10-27,Bug Report,Medium
TK00042,CUST0027,2024-03-27,Complaint,High
TK00043,CUST0028,2023-08-14,Feature Request,High
TK00044,CUST0029,2024-05-25,Complaint,Low
TK00045,CUST0030,2023-03-26,Bug Report,Low
TK00046,CUST0030,2023-03-20,Billing Question,Low
TK00047,CUST0030,2023-03-29,Complaint,Low
TK00048,CUST0030,2023-04-04,Billing Question,Low
TK00049,CUST0033,2024-01-26,Bug Report,Low
TK00050,CUST0034,2024-06-02,Feature Request,Low
TK00051,CUST0034,2024-05-04,Bug Report,Low
TK00052,CUST0035,2023-11-28,Billing Question,Low
TK00053,CUST0035,2024-02-29,Feature Request,Low
TK00054,CUST0038,2024-05-21,Billing Question,Low
TK00055,CUST0038,2023-11-24,Feature Request,Low
TK00056,CUST0040,2024-04-15,Complaint,Medium
TK00057,CUST0040,2024-04-17,Complaint,Low
TK00058,CUST0040,2024-05-23,Feature Request,Low
TK00059,CUST0040,2024-03-28,Bug Report,Low
TK00060,CUST0042,2024-04-27,Feature Request,Medium
TK00061,CUST0044,2023-07-28,Complaint,Medium
TK00062,CUST0044,2023-04-18,Complaint,Medium
TK00063,CUST0044,2023-08-15,Bug Report,Medium
TK00064,CUST0044,2023-05-06,Feature Request,High
TK00065,CUST0044,2023-07-30,Bug Report,Medium
TK00066,CUST0044,2023-05-31,Bug Report,High
TK00067,CUST0044,2023-09-02,Billing Question,Low
TK00068,CUST0044,2023-07-09,Complaint,Medium
TK00069,CUST0046,2023-06-24,Complaint,Low
TK00070,CUST0047,2024-06-26,Complaint,Medium
TK00071,CUST0047,2024-05-31,Complaint,High
TK00072,CUST0047,2024-05-02,Bug Report,Low
TK00073,CUST0048,2023-06-19,Billing Question,Low
TK00074,CUST0049,2024-03-29,Billing Question,Low
TK00075,CUST0050,2023-03-18,Feature Request,Medium
TK00076,CUST0050,2023-03-17,Complaint,Low
TK00077,CUST0051,2024-02-23,Feature Request,Medium
TK00078,CUST0051,2023-12-27,Complaint,Medium
TK00079,CUST0052,2024-01-30,Feature Request,Low
TK00080,CUST0052,2024-04-14,Complaint,Medium
TK00081,CUST0053,2024-02-24,Feature Request,High
TK00082,CUST0054,2024-04-10,Bug Report,Medium
TK00083,CUST0055,2023-06-19,Feature Request,Low
TK00084,CUST0055,2023-02-27,Feature Request,Low
TK00085,CUST0056,2024-02-12,Billing Question,Low
TK00086,CUST0056,2023-08-31,Billing Question,High
TK00087,CUST0056,2023-09-27,Feature Request,Medium
TK00088,CUST0056,2024-01-24,Billing Question,High
TK00089,CUST0056,2024-02-09,Complaint,High
TK00090,CUST0056,2023-11-28,Bug Report,Medium
TK00091,CUST0057,2024-05-04,Feature Request,Low
TK00092,CUST0057,2024-02-06,Feature Request,Medium
TK00093,CUST0058,2024-03-24,Bug Report,Medium
TK00094,CUST0061,2024-04-02,Bug Report,Low
TK00095,CUST0061,2024-06-11,Billing Question,Medium
TK00096,CUST0061,2024-04-15,Complaint,Low
TK00097,CUST0062,2024-02-07,Complaint,Low
TK00098,CUST0063,2024-05-24,Complaint,Low
TK00099,CUST0064,2024-01-25,Bug Report,Medium
TK00100,CUST0065,2024-04-14,Billing Question,Low
TK00101,CUST0065,2024-04-13,Feature Request,Low
TK00102,CUST0065,2024-04-27,Feature Request,Low
TK00103,CUST0066,2023-12-10,Complaint,Medium
TK00104,CUST0068,2023-10-23,Complaint,Low
TK00105,CUST0069,2024-04-03,Bug Report,Medium
TK00106,CUST0069,2024-04-12,Feature Request,Medium
TK00107,CUST0070,2023-11-13,Feature Request,Low
TK00108,CUST0070,2024-04-20,Bug Report,Medium
TK00109,CUST0072,2024-04-17,Complaint,Low
TK00110,CUST0072,2023-12-28,Complaint,Low
TK00111,CUST0072,2024-02-26,Billing Question,Low
TK00112,CUST0075,2024-02-20,Bug Report,Low
TK00113,CUST0076,2023-12-11,Feature Request,Medium
TK00114,CUST0077,2024-01-12,Bug Report,Low
TK00115,CUST0078,2023-07-21,Bug Report,Medium
TK00116,CUST0078,2023-06-13,Billing Question,Low
TK00117,CUST0081,2024-04-22,Feature Request,Medium
TK00118,CUST0083,2024-02-05,Complaint,Low
TK00119,CUST0085,2023-06-15,Billing Question,Medium
TK00120,CUST0086,2024-04-20,Billing Question,Medium
TK00121,CUST0086,2024-03-02,Feature Request,Low
TK00122,CUST0086,2023-11-24,Billing Question,Low
TK00123,CUST0086,2024-04-24,Feature Request,Low
TK00124,CUST0086,2024-05-08,Feature Request,High
TK00125,CUST0087,2023-10-27,Bug Report,Low
TK00126,CUST0087,2024-03-23,Complaint,High
TK00127,CUST0088,2024-05-28,Feature Request,Medium
TK00128,CUST0088,2023-12-29,Billing Question,Medium
TK00129,CUST0088,2023-12-06,Billing Question,Low
TK00130,CUST0090,2024-05-10,Feature Request,Medium
TK00131,CUST0091,2024-01-01,Complaint,Low
TK00132,CUST0093,2024-02-07,Feature Request,Medium
TK00133,CUST0094,2023-03-15,Complaint,Low
TK00134,CUST0095,2023-01-19,Bug Report,Low
TK00135,CUST0096,2023-11-21,Feature Request,Medium
TK00136,CUST0097,2024-04-30,Feature Request,Low
TK00137,CUST0098,2023-05-26,Complaint,Low
TK00138,CUST0098,2024-03-24,Bug Report,Medium
TK00139,CUST0099,2024-03-07,Bug Report,Medium
TK00140,CUST0099,2024-05-12,Complaint,Medium
TK00141,CUST0100,2024-02-18,Feature Request,Medium
TK00142,CUST0100,2024-06-20,Complaint,Low
TK00143,CUST0100,2024-04-29,Complaint,Medium
TK00144,CUST0101,2023-08-26,Complaint,Low
TK00145,CUST0101,2023-11-23,Feature Request,Low
TK00146,CUST0103,2024-04-15,Billing Question,Medium
TK00147,CUST0104,2024-04-22,Complaint,Medium
TK00148,CUST0105,2023-05-26,Bug Report,Low
TK00149,CUST0105,2023-05-19,Complaint,Low
TK00150,CUST0105,2023-08-02,Billing Question,Low
TK00151,CUST0106,2023-06-15,Bug Report,High
TK00152,CUST0108,2023-10-05,Complaint,Low
TK00153,CUST0108,2024-02-09,Billing Question,Medium
TK00154,CUST0110,2023-05-17,Feature Request,Low
TK00155,CUST0111,2023-11-30,Feature Request,Low
TK00156,CUST0111,2023-12-04,Feature Request,Low
TK00157,CUST0112,2023-12-10,Feature Request,Medium
TK00158,CUST0113,2024-02-19,Billing Question,Low
TK00159,CUST0115,2024-03-08,Complaint,High
TK00160,CUST0115,2024-04-24,Complaint,Medium
TK00161,CUST0115,2024-04-14,Bug Report,Low
TK00162,CUST0115,2024-05-12,Bug Report,Low
TK00163,CUST0117,2024-05-14,Billing Question,Low
TK00164,CUST0118,2024-05-07,Complaint,Low
TK00165,CUST0118,2024-05-15,Feature Request,Medium
TK00166,CUST0119,2024-06-01,Complaint,Medium
TK00167,CUST0120,2023-04-22,Billing Question,Medium
TK00168,CUST0120,2023-04-09,Bug Report,High
TK00169,CUST0121,2024-01-29,Bug Report,Low
TK00170,CUST0121,2024-06-01,Feature Request,Low
TK00171,CUST0122,2024-02-28,Billing Question,Medium
TK00172,CUST0122,2023-12-27,Billing Question,Low
TK00173,CUST0123,2023-10-26,Bug Report,Medium
TK00174,CUST0123,2023-09-16,Billing Question,Low
TK00175,CUST0124,2024-01-04,Billing Question,Medium
TK00176,CUST0124,2024-01-20,Billing Question,High
TK00177,CUST0124,2024-04-13,Complaint,Medium
TK00178,CUST0125,2023-09-11,Bug Report,Medium
TK00179,CUST0126,2023-03-02,Billing Question,Medium
TK00180,CUST0127,2024-03-05,Complaint,Low
TK00181,CUST0127,2024-03-24,Complaint,Low
TK00182,CUST0131,2024-06-22,Billing Question,Low
TK00183,CUST0131,2024-04-19,Bug Report,Low
TK00184,CUST0132,2024-04-13,Feature Request,Medium
TK00185,CUST0133,2023-03-31,Bug Report,Medium
TK00186,CUST0133,2023-04-15,Feature Request,Low
TK00187,CUST0134,2024-03-16,Billing Question,Medium
TK00188,CUST0135,2023-12-10,Feature Request,Medium
TK00189,CUST0136,2023-10-22,Billing Question,Low
TK00190,CUST0136,2024-05-31,Bug Report,Low
TK00191,CUST0137,2023-12-17,Bug Report,Low
TK00192,CUST0137,2024-03-11,Bug Report,High
TK00193,CUST0139,2024-05-20,Feature Request,Low
TK00194,CUST0139,2023-11-26,Complaint,Low
TK00195,CUST0140,2024-01-27,Billing Question,Medium
TK00196,CUST0142,2023-04-12,Bug Report,Low
TK00197,CUST0143,2023-08-23,Bug Report,Low
TK00198,CUST0143,2024-03-10,Billing Question,Low
TK00199,CUST0144,2023-07-10,Bug Report,High
TK00200,CUST0148,2023-07-21,Complaint,Low
TK00201,CUST0148,2023-10-13,Complaint,Low
TK00202,CUST0148,2023-10-06,Complaint,Low
TK00203,CUST0149,2024-02-05,Billing Question,Low
TK00204,CUST0151,2023-10-17,Feature Request,Low
TK00205,CUST0151,2023-07-18,Billing Question,High
TK00206,CUST0152,2024-02-25,Billing Question,Low
TK00207,CUST0153,2023-10-04,Complaint,Medium
TK00208,CUST0154,2024-05-04,Bug Report,Low
TK00209,CUST0155,2024-04-20,Complaint,Medium
TK00210,CUST0155,2023-10-17,Billing Question,Low
TK00211,CUST0158,2023-11-28,Bug Report,High
TK00212,CUST0159,2024-05-23,Bug Report,Low
TK00213,CUST0160,2024-06-28,Bug Report,Low
TK00214,CUST0160,2024-05-13,Billing Question,Low
TK00215,CUST0161,2024-05-12,Billing Question,Medium
TK00216,CUST0161,2024-06-06,Billing Question,Low
TK00217,CUST0161,2024-06-16,Feature Request,Low
TK00218,CUST0162,2024-05-08,Feature Request,Low
TK00219,CUST0163,2024-06-05,Billing Question,Medium
TK00220,CUST0163,2024-05-07,Feature Request,Medium
TK00221,CUST0165,2023-05-31,Bug Report,Medium
TK00222,CUST0168,2023-11-27,Bug Report,Low
TK00223,CUST0171,2024-05-05,Complaint,Low
TK00224,CUST0172,2024-01-16,Bug Report,Low
TK00225,CUST0173,2024-04-05,Bug Report,Low
TK00226,CUST0174,2023-10-20,Feature Request,Low
TK00227,CUST0174,2024-01-26,Complaint,Medium
TK00228,CUST0174,2023-12-04,Bug Report,High
TK00229,CUST0175,2024-03-25,Bug Report,Low
TK00230,CUST0175,2024-06-25,Bug Report,Low
TK00231,CUST0176,2023-11-25,Bug Report,Low
TK00232,CUST0176,2024-04-08,Complaint,Low
TK00233,CUST0177,2023-07-24,Billing Question,Low
