customer_id,date,sessions,features_used
CUST0001,2023-11-24,5.18,0
CUST0001,2023-11-25,5.77,4
CUST0001,2023-11-26,4.3,4
CUST0001,2023-11-27,6.02,4
CUST0001,2023-11-28,4.6,3
CUST0001,2023-11-29,4.8,5
CUST0001,2023-12-03,4.24,4
CUST0001,2023-12-08,4.34,6
CUST0001,2023-12-10,3.13,2
CUST0001,2023-12-11,3.73,1
CUST0001,2023-12-12,4.74,5
CUST0001,2023-12-14,4.09,1
CUST0001,2023-12-15,4.99,5
CUST0001,2023-12-16,5.45,3
CUST0001,2023-12-17,6.1,2
CUST0001,2023-12-18,4.9,3
CUST0001,2023-12-20,0.9,4
CUST0001,2023-12-21,2.04,8
CUST0001,2023-12-22,1.38,3
CUST0001,2023-12-27,1.96,1
CUST0001,2023-12-29,0.54,2
CUST0001,2023-12-30,1.61,3
CUST0001,2024-01-05,4.62,2
CUST0001,2024-01-06,3.25,5
CUST0001,2024-01-08,4.33,1
CUST0001,2024-01-09,4.12,4
CUST0001,2024-01-10,5.61,2
CUST0001,2024-01-12,5.22,4
CUST0001,2024-01-17,4.2,5
CUST0001,2024-01-19,3.94,4
CUST0001,2024-01-20,4.85,1
CUST0001,2024-01-21,3.98,4
CUST0001,2024-01-22,5.56,6
CUST0001,2024-01-23,4.31,1
CUST0001,2024-01-24,4.86,2
CUST0001,2024-01-25,5.14,4
CUST0001,2024-01-31,4.16,0
CUST0001,2024-02-01,3.34,3
CUST0001,2024-02-02,5.74,5
CUST0001,2024-02-05,4.21,2
CUST0001,2024-02-06,5.39,4
CUST0001,2024-02-09,4.95,4
CUST0001,2024-02-11,4.84,3
CUST0001,2024-02-14,5.66,1
CUST0001,2024-02-15,3.87,1
CUST0001,2024-02-18,4.37,2
CUST0001,2024-02-21,4.6,2
CUST0001,2024-02-22,3.67,3
CUST0001,2024-02-24,4.83,4
CUST0001,2024-02-26,5.03,4
CUST0001,2024-02-27,4.31,0
CUST0001,2024-02-28,4.92,4
CUST0001,2024-03-01,4.34,4
CUST0001,2024-03-02,4.14,2
CUST0001,2024-03-04,4.01,5
CUST0001,2024-03-05,4.48,2
CUST0001,2024-03-06,4.25,3
CUST0001,2024-03-09,5.13,4
CUST0001,2024-03-10,4.46,2
CUST0001,2024-03-12,4.98,4
CUST0001,2024-03-13,4.38,2
CUST0001,2024-03-16,4.86,6
CUST0001,2024-03-17,3.26,4
CUST0001,2024-03-19,5.33,5
CUST0001,2024-03-21,3.97,5
CUST0001,2024-03-22,4.13,5
CUST0001,2024-03-29,5.32,3
CUST0001,2024-03-30,4.54,8
CUST0001,2024-03-31,5.04,3
CUST0001,2024-04-02,4.7,3
CUST0001,2024-04-03,5.51,4
CUST0001,2024-04-04,5.53,2
CUST0001,2024-04-06,4.25,0
CUST0001,2024-04-08,4.91,2
CUST0001,2024-04-09,4.3,4
CUST0001,2024-04-11,4.6,2
CUST0001,2024-04-12,4.13,6
CUST0001,2024-04-14,3.99,3
CUST0001,2024-04-15,4.75,3
CUST0001,2024-04-19,4.73,4
CUST0001,2024-04-21,5.35,6
CUST0001,2024-04-23,5.35,5
CUST0001,2024-04-24,4.94,3
CUST0001,2024-04-25,4.02,5
CUST0001,2024-04-27,4.74,5
CUST0001,2024-04-28,4.91,8
CUST0001,2024-04-29,4.98,3
CUST0001,2024-05-02,4.34,1
CUST0001,2024-05-04,5.24,3
CUST0001,2024-05-05,5.24,3
CUST0001,2024-05-06,5.05,5
CUST0001,2024-05-07,5.51,6
CUST0001,2024-05-08,4.12,7
CUST0001,2024-05-09,3.36,0
CUST0001,2024-05-10,3.52,2
CUST0001,2024-05-11,4.56,0
CUST0001,2024-05-12,4.74,4
CUST0001,2024-05-13,4.44,6
CUST0001,2024-05-15,4.38,2
CUST0001,2024-05-16,4.15,2
CUST0001,2024-05-18,5.09,4
CUST0001,2024-05-19,3.68,2
CUST0001,2024-05-20,4.27,6
CUST0001,2024-05-24,4.71,1
CUST0001,2024-05-25,5.8,5
CUST0001,2024-05-26,4.4,2
CUST0001,2024-05-29,5.25,5
CUST0001,2024-05-30,4.11,5
CUST0001,2024-05-31,4.33,4
CUST0001,2024-06-01,4.94,7
CUST0001,2024-06-02,4.34,6
CUST0001,2024-06-03,4.64,4
CUST0001,2024-06-07,3.38,2
CUST0001,2024-06-11,5.18,6
CUST0001,2024-06-12,4.32,2
CUST0001,2024-06-13,4.6,4
CUST0001,2024-06-14,5.17,2
CUST0001,2024-06-15,3.88,5
CUST0001,2024-06-23,3.66,2
CUST0001,2024-06-25,4.54,4
CUST0001,2024-06-26,3.4,1
CUST0001,2024-06-29,4.82,3
CUST0001,2024-06-30,4.14,2
CUST0002,2023-04-25,1.31,3
CUST0002,2023-04-26,2.96,6
CUST0002,2023-04-27,3.12,1
CUST0002,2023-04-28,2.52,3
CUST0002,2023-04-30,3.16,3
CUST0002,2023-05-02,2.8,2
CUST0002,2023-05-04,3.19,4
CUST0002,2023-05-05,3.06,1
CUST0002,2023-05-06,3.55,3
CUST0002,2023-05-07,2.68,3
CUST0002,2023-05-09,2.88,7
CUST0002,2023-05-12,2.13,2
CUST0002,2023-05-13,2.71,2
CUST0002,2023-05-14,3.14,1
CUST0002,2023-05-15,3.01,1
CUST0002,2023-05-18,2.21,1
CUST0002,2023-05-19,2.63,4
CUST0002,2023-05-20,2.99,6
CUST0002,2023-05-23,2.46,1
CUST0002,2023-05-25,2.01,1
CUST0002,2023-05-29,2.74,2
CUST0002,2023-05-31,2.01,7
CUST0002,2023-06-02,2.9,5
CUST0002,2023-06-03,3.04,3
CUST0002,2023-06-07,1.71,2
CUST0002,2023-06-09,2.35,3
CUST0002,2023-06-10,2.17,4
CUST0002,2023-06-12,2.61,2
CUST0002,2023-06-17,2.59,3
CUST0002,2023-06-19,3.66,2
CUST0002,2023-06-20,3.04,0
CUST0002,2023-06-21,2.1,1
CUST0002,2023-06-23,2.48,4
CUST0002,2023-06-25,3.24,3
CUST0002,2023-06-26,2.72,2
CUST0002,2023-06-27,2.57,2
CUST0002,2023-06-28,3.3,2
CUST0002,2023-06-29,3.02,3
CUST0002,2023-07-04,2.34,1
CUST0002,2023-07-05,3.58,1
CUST0002,2023-07-06,1.9,1
CUST0002,2023-07-07,2.68,0
CUST0002,2023-07-08,2.17,4
CUST0002,2023-07-10,3.91,2
CUST0002,2023-07-11,2.37,3
CUST0002,2023-07-12,2.59,1
CUST0002,2023-07-14,3.01,5
CUST0002,2023-07-15,2.48,3
CUST0002,2023-07-17,2.31,4
CUST0002,2023-07-18,1.68,0
CUST0002,2023-07-19,2.92,2
CUST0002,2023-07-25,2.17,2
CUST0002,2023-07-29,2.1,5
CUST0002,2023-07-30,3.19,1
CUST0002,2023-08-02,2.58,3
CUST0002,2023-08-03,2.05,3
CUST0002,2023-08-05,3.34,7
CUST0002,2023-08-07,2.69,1
CUST0002,2023-08-10,2.12,4
CUST0002,2023-08-11,2.9,6
CUST0002,2023-08-12,2.13,4
CUST0002,2023-08-15,2.23,2
CUST0002,2023-08-16,2.36,2
CUST0002,2023-08-17,1.68,2
CUST0002,2023-08-18,1.62,2
CUST0002,2023-08-19,1.79,2
CUST0002,2023-08-20,2.25,2
CUST0002,2023-08-22,1.95,3
CUST0002,2023-08-23,2.03,0
CUST0002,2023-08-25,1.69,4
CUST0002,2023-08-26,2.62,3
CUST0002,2023-08-27,3.28,3
CUST0002,2023-08-28,2.19,2
CUST0002,2023-08-29,2.01,4
CUST0002,2023-09-02,3.41,3
CUST0002,2023-09-03,2.84,0
CUST0002,2023-09-04,2.17,4
CUST0002,2023-09-05,2.4,4
CUST0002,2023-09-06,2.0,4
CUST0002,2023-09-07,2.44,2
CUST0002,2023-09-09,2.29,1
CUST0002,2023-09-11,2.9,1
CUST0002,2023-09-15,3.6,3
CUST0002,2023-09-17,2.18,2
CUST0002,2023-09-18,1.83,7
CUST0002,2023-09-20,2.2,1
CUST0002,2023-09-23,2.53,7
CUST0002,2023-09-24,3.03,2
CUST0002,2023-09-27,1.84,0
CUST0002,2023-09-30,2.13,1
CUST0002,2023-10-01,2.86,4
CUST0002,2023-10-02,2.95,1
CUST0002,2023-10-03,2.28,4
CUST0002,2023-10-04,2.28,2
CUST0002,2023-10-05,2.78,4
CUST0002,2023-10-06,1.56,2
CUST0002,2023-10-07,2.43,1
CUST0002,2023-10-11,1.85,2
CUST0002,2023-10-12,2.66,5
CUST0002,2023-10-14,2.01,2
CUST0002,2023-10-15,2.76,2
CUST0002,2023-10-17,2.61,2
CUST0002,2023-10-20,2.65,2
CUST0002,2023-10-22,1.95,1
CUST0002,2023-10-23,1.87,2
CUST0002,2023-10-24,3.12,2
CUST0002,2023-10-25,1.56,1
CUST0002,2023-10-28,3.28,3
CUST0002,2023-10-30,3.79,4
CUST0002,2023-11-01,2.46,2
CUST0002,2023-11-02,3.03,5
CUST0002,2023-11-03,2.88,4
CUST0002,2023-11-05,1.56,3
CUST0002,2023-11-07,3.19,2
CUST0002,2023-11-09,1.8,6
CUST0002,2023-11-11,2.31,2
CUST0002,2023-11-12,2.66,3
CUST0002,2023-11-13,3.16,1
CUST0002,2023-11-15,2.09,1
CUST0002,2023-11-16,1.74,5
CUST0002,2023-11-18,2.21,7
CUST0002,2023-11-20,2.18,2
CUST0002,2023-11-21,2.27,3
CUST0002,2023-11-24,2.65,1
CUST0002,2023-11-26,2.4,3
CUST0002,2023-11-27,2.42,4
CUST0002,2023-11-30,1.81,1
CUST0002,2023-12-03,3.04,1
CUST0002,2023-12-09,3.35,6
CUST0002,2023-12-10,2.98,3
CUST0002,2023-12-11,2.4,3
CUST0002,2023-12-12,2.31,1
CUST0002,2023-12-13,2.37,4
CUST0002,2023-12-14,3.99,3
CUST0002,2023-12-16,2.99,1
CUST0002,2023-12-18,2.1,1
CUST0002,2023-12-19,3.62,3
CUST0002,2023-12-20,1.34,2
CUST0002,2023-12-21,1.65,3
CUST0002,2023-12-22,0.86,4
CUST0002,2023-12-26,0.69,1
CUST0002,2023-12-30,1.54,2
CUST0002,2023-12-31,0.49,2
CUST0002,2024-01-02,2.46,5
CUST0002,2024-01-03,3.27,7
CUST0002,2024-01-05,2.05,1
CUST0002,2024-01-06,3.56,2
CUST0002,2024-01-09,3.12,3
CUST0002,2024-01-10,2.89,5
CUST0002,2024-01-11,3.38,3
CUST0002,2024-01-12,3.34,2
CUST0002,2024-01-14,1.78,0
CUST0002,2024-01-16,2.77,5
CUST0002,2024-01-19,3.44,2
CUST0002,2024-01-20,3.54,3
CUST0002,2024-01-22,3.47,3
CUST0002,2024-01-24,2.53,1
CUST0002,2024-01-25,2.79,2
CUST0002,2024-01-27,2.59,4
CUST0002,2024-01-29,2.32,5
CUST0002,2024-01-31,3.12,1
CUST0002,2024-02-01,2.83,1
CUST0002,2024-02-02,1.67,2
CUST0002,2024-02-05,3.12,0
CUST0002,2024-02-06,2.55,2
CUST0002,2024-02-07,2.13,0
CUST0002,2024-02-08,2.54,4
CUST0002,2024-02-12,2.6,2
CUST0002,2024-02-13,2.75,2
CUST0002,2024-02-14,2.5,2
CUST0002,2024-02-15,3.23,3
CUST0002,2024-02-16,2.53,4
CUST0002,2024-02-18,2.68,2
CUST0002,2024-02-19,3.17,2
CUST0002,2024-02-20,3.04,3
CUST0002,2024-02-24,2.53,2
CUST0002,2024-02-25,2.19,2
CUST0002,2024-02-28,1.71,6
CUST0002,2024-02-29,2.25,5
CUST0002,2024-03-02,2.66,6
CUST0002,2024-03-05,1.2,3
CUST0002,2024-03-06,2.46,0
CUST0002,2024-03-11,3.43,1
CUST0002,2024-03-12,1.88,7
CUST0002,2024-03-13,2.73,3
CUST0002,2024-03-17,3.09,2
CUST0002,2024-03-20,1.86,1
CUST0002,2024-03-22,2.83,2
CUST0002,2024-03-23,3.96,2
CUST0002,2024-03-24,2.56,6
CUST0002,2024-03-25,2.97,3
CUST0002,2024-03-29,2.57,6
CUST0002,2024-03-31,2.28,1
CUST0002,2024-04-01,2.38,2
CUST0002,2024-04-02,3.33,1
CUST0002,2024-04-05,1.88,5
CUST0002,2024-04-07,2.81,2
CUST0002,2024-04-08,3.26,3
CUST0002,2024-04-09,1.68,1
CUST0002,2024-04-10,2.39,3
CUST0002,2024-04-15,2.58,4
CUST0002,2024-04-16,2.49,3
CUST0002,2024-04-18,2.9,1
CUST0002,2024-04-19,2.96,1
CUST0002,2024-04-24,1.36,1
CUST0002,2024-04-29,3.02,2
CUST0002,2024-04-30,2.81,5
CUST0002,2024-05-03,3.25,2
CUST0002,2024-05-04,2.75,3
CUST0002,2024-05-05,1.98,3
CUST0002,2024-05-06,2.39,2
CUST0002,2024-05-10,2.26,2
CUST0002,2024-05-11,2.18,1
CUST0002,2024-05-12,2.18,2
CUST0002,2024-05-13,2.71,3
CUST0002,2024-05-14,1.82,5
CUST0002,2024-05-15,1.85,4
CUST0002,2024-05-18,2.55,2
CUST0002,2024-05-20,3.13,3
CUST0002,2024-05-28,2.67,4
CUST0002,2024-05-29,3.23,1
CUST0002,2024-05-31,1.5,4
CUST0002,2024-06-03,2.91,4
CUST0002,2024-06-06,2.58,1
CUST0002,2024-06-07,3.08,0
CUST0002,2024-06-08,3.1,3
CUST0002,2024-06-09,3.54,4
CUST0002,2024-06-13,2.38,1
CUST0002,2024-06-14,2.48,3
CUST0002,2024-06-15,2.34,3
CUST0002,2024-06-18,2.19,1
CUST0002,2024-06-20,3.11,5
CUST0002,2024-06-25,3.4,2
CUST0002,2024-06-28,3.0,3
CUST0002,2024-06-29,2.37,2
CUST0002,2024-06-30,2.74,3
CUST0003,2024-01-15,1.91,5
CUST0003,2024-01-16,1.76,4
CUST0003,2024-01-17,2.46,4
CUST0003,2024-01-18,1.94,2
CUST0003,2024-01-19,1.69,1
CUST0003,2024-01-20,2.72,1
CUST0003,2024-01-21,2.55,4
CUST0003,2024-01-22,2.11,3
CUST0003,2024-01-24,1.79,2
CUST0003,2024-01-25,1.7,4
CUST0003,2024-01-26,1.51,3
CUST0003,2024-01-31,1.28,2
CUST0003,2024-02-02,1.84,2
CUST0003,2024-02-05,1.96,4
CUST0003,2024-02-07,1.61,3
CUST0003,2024-02-10,1.7,3
CUST0003,2024-02-11,1.91,6
CUST0003,2024-02-12,1.67,3
CUST0003,2024-02-15,2.29,1
CUST0003,2024-02-17,2.12,5
CUST0003,2024-02-19,1.52,2
CUST0003,2024-02-20,1.86,2
CUST0003,2024-02-22,1.2,2
CUST0003,2024-02-25,1.63,1
CUST0003,2024-02-27,1.27,0
CUST0003,2024-02-28,2.14,2
CUST0003,2024-02-29,1.61,1
CUST0003,2024-03-01,1.28,4
CUST0003,2024-03-03,2.07,1
CUST0003,2024-03-04,2.34,2
CUST0003,2024-03-07,2.85,2
CUST0003,2024-03-12,1.02,1
CUST0003,2024-03-13,1.23,3
CUST0003,2024-03-14,1.42,3
CUST0003,2024-03-15,1.77,6
CUST0003,2024-03-16,2.3,4
CUST0003,2024-03-17,2.27,3
CUST0003,2024-03-18,1.49,1
CUST0003,2024-03-21,1.72,0
CUST0003,2024-03-24,1.51,5
CUST0003,2024-03-25,2.17,4
CUST0003,2024-03-28,2.48,1
CUST0003,2024-03-29,2.01,1
CUST0003,2024-03-30,2.68,3
CUST0003,2024-03-31,1.33,3
CUST0003,2024-04-01,1.56,3
CUST0003,2024-04-02,1.5,6
CUST0003,2024-04-03,0.92,2
CUST0003,2024-04-04,1.93,4
CUST0003,2024-04-05,2.12,4
CUST0003,2024-04-06,1.71,3
CUST0003,2024-04-07,1.7,4
CUST0003,2024-04-09,1.01,2
CUST0003,2024-04-11,2.55,2
CUST0003,2024-04-13,2.27,3
CUST0003,2024-04-16,1.14,3
CUST0003,2024-04-17,1.15,4
CUST0003,2024-04-18,2.44,6
CUST0003,2024-04-19,1.28,2
CUST0003,2024-04-20,1.83,3
CUST0003,2024-04-21,1.33,2
CUST0003,2024-04-22,1.5,1
CUST0003,2024-04-25,1.4,2
CUST0003,2024-04-26,2.21,4
CUST0003,2024-04-28,1.62,2
CUST0003,2024-05-01,1.33,1
CUST0003,2024-05-02,2.72,3
CUST0003,2024-05-04,1.47,2
CUST0003,2024-05-05,2.43,4
CUST0003,2024-05-08,1.65,2
CUST0003,2024-05-09,1.95,3
CUST0003,2024-05-12,1.71,1
CUST0003,2024-05-14,2.12,2
CUST0003,2024-05-15,1.33,2
CUST0003,2024-05-16,0.97,4
CUST0003,2024-05-19,1.35,0
CUST0003,2024-05-22,0.97,2
CUST0003,2024-05-24,1.91,1
CUST0003,2024-05-26,1.29,0
CUST0003,2024-05-29,1.17,2
CUST0003,2024-05-30,1.82,3
CUST0003,2024-05-31,1.27,5
CUST0003,2024-06-02,1.77,0
CUST0003,2024-06-04,2.12,2
CUST0003,2024-06-05,1.8,1
CUST0003,2024-06-06,1.55,4
CUST0003,2024-06-07,1.54,0
CUST0003,2024-06-10,1.35,3
CUST0003,2024-06-11,1.17,3
CUST0003,2024-06-12,0.47,1
CUST0003,2024-06-15,2.04,1
CUST0003,2024-06-17,1.48,1
CUST0003,2024-06-18,1.08,1
CUST0003,2024-06-19,0.52,2
CUST0003,2024-06-21,1.53,4
CUST0003,2024-06-23,2.59,0
CUST0003,2024-06-24,2.44,2
CUST0003,2024-06-30,1.48,1
CUST0004,2023-08-05,2.87,2
CUST0004,2023-08-06,2.92,4
CUST0004,2023-08-08,3.01,1
CUST0004,2023-08-09,3.15,3
CUST0004,2023-08-10,2.19,2
CUST0004,2023-08-13,2.32,3
CUST0004,2023-08-15,2.68,0
CUST0004,2023-08-18,2.46,1
CUST0004,2023-08-19,2.62,1
CUST0004,2023-08-22,2.76,3
CUST0004,2023-08-23,2.76,1
CUST0004,2023-08-24,3.17,3
CUST0004,2023-08-26,1.34,0
CUST0004,2023-08-27,2.74,3
CUST0004,2023-08-29,2.57,4
CUST0004,2023-09-01,4.21,2
CUST0004,2023-09-02,2.57,3
CUST0004,2023-09-03,2.68,3
CUST0004,2023-09-04,3.83,4
CUST0004,2023-09-05,3.3,4
CUST0004,2023-09-06,2.87,2
CUST0004,2023-09-07,2.26,2
CUST0004,2023-09-08,3.11,6
CUST0004,2023-09-09,3.43,4
CUST0004,2023-09-11,3.63,3
CUST0004,2023-09-13,2.61,0
CUST0004,2023-09-14,4.16,2
CUST0004,2023-09-18,2.69,5
